date,type,category,amount,account,currency,description
2025-11-30 00:00:00,Expense,Health,114.0,acct_1,BYN,tag_1
2025-11-29 00:00:00,Expense,Food,5.0,acct_1,BYN,tag_1
2025-11-27 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-11-27 00:00:00,Expense,Cafe,10.0,acct_1,BYN,tag_1
2025-11-27 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-11-26 00:00:00,Expense,Cafe,2.0,acct_3,BYN,tag_1
2025-11-26 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-11-25 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-11-25 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-11-25 00:00:00,Expense,Cafe,11.0,acct_1,BYN,tag_1
2025-11-25 00:00:00,Expense,Taxi,18.0,acct_1,BYN,tag_1
2025-11-24 00:00:00,Expense,Food,9.0,acct_1,BYN,tag_1
2025-11-24 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-11-24 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-11-24 00:00:00,Expense,Cafe,4.0,acct_3,BYN,tag_1
2025-11-24 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-11-24 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-11-22 00:00:00,Expense,Food,11.0,acct_1,BYN,tag_1
2025-11-21 00:00:00,Expense,Public transport,2.0,acct_2,BYN,tag_1
2025-11-21 00:00:00,Expense,Cafe,11.0,acct_1,BYN,tag_1
2025-11-21 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-11-21 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-11-20 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-11-20 00:00:00,Expense,Public transport,2.0,acct_2,BYN,tag_1
2025-11-20 00:00:00,Expense,Cafe,9.0,acct_1,BYN,tag_1
2025-11-20 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-11-20 00:00:00,Expense,Cafe,8.0,acct_3,BYN,tag_1
2025-11-19 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-11-18 00:00:00,Expense,Gifts,79.0,acct_1,BYN,tag_1
2025-11-18 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-11-18 00:00:00,Expense,Cafe,2.0,acct_3,BYN,tag_1
2025-11-18 00:00:00,Expense,Cafe,5.0,acct_1,BYN,tag_1
2025-11-18 00:00:00,Expense,Taxi,9.0,acct_1,BYN,tag_1
2025-11-18 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-11-18 00:00:00,Expense,Cafe,3.0,acct_3,BYN,tag_1
2025-11-17 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-11-17 00:00:00,Expense,Cafe,3.0,acct_3,BYN,tag_1
2025-11-17 00:00:00,Expense,Cafe,2.0,acct_3,BYN,tag_1
2025-11-17 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-11-16 00:00:00,Expense,Public transport,2.0,acct_2,BYN,tag_1
2025-11-15 00:00:00,Expense,Food,3.0,acct_3,BYN,tag_1
2025-11-15 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-11-15 00:00:00,Expense,Food,3.0,acct_3,BYN,tag_1
2025-11-15 00:00:00,Expense,Cafe,3.0,acct_3,BYN,tag_1
2025-11-15 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-11-13 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-11-13 00:00:00,Expense,Loan given,23.0,acct_1,BYN,tag_1
2025-11-13 00:00:00,Expense,Cafe,4.0,acct_1,BYN,tag_1
2025-11-13 00:00:00,Expense,Public transport,2.0,acct_2,BYN,tag_1
2025-11-13 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-11-13 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-11-13 00:00:00,Expense,Health,36.0,acct_1,BYN,tag_1
2025-11-13 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-11-12 00:00:00,Expense,Cafe,10.0,acct_1,BYN,tag_1
2025-11-12 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-11-11 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-11-11 00:00:00,Expense,Cafe,5.0,acct_1,BYN,tag_1
2025-11-11 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-11-10 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-11-10 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-11-10 00:00:00,Expense,Cafe,6.0,acct_1,BYN,tag_1
2025-11-10 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-11-07 00:00:00,Expense,Cafe,11.0,acct_1,BYN,tag_1
2025-11-07 00:00:00,Expense,Leisure,35.0,acct_1,BYN,tag_1
2025-11-06 00:00:00,Expense,Cafe,31.0,acct_1,BYN,tag_1
2025-11-05 00:00:00,Expense,Clothes,299.0,acct_1,BYN,tag_1
2025-11-05 00:00:00,Expense,Cafe,3.0,acct_3,BYN,tag_1
2025-11-05 00:00:00,Expense,Cafe,12.0,acct_1,BYN,tag_1
